Reading, Author, Units, Pages, Area, Status ,,,
Sovereign Media and the Ruins of a Logistical Future, Ned Rossier,0.43333333333333,13, network technology , , , ,
The ethnography of infrastructure. American Behavioral Scientist, Susan Star,0.5,15, network technology , read, , ,
Do Artifacts Have Politics?, Langdon Winner,0.53333333333333,16, network technology , read, , ,
How Infrastructures Matter, Stephen Slota & Geoffrey Bowker,0.86666666666667,26, network technology , , , ,
The time of the Black Swan, Susie O?Brien,0.13333333333333,4, time studies , read, , ,
'Time-lag' and Catching Up: Managing Polysemic Temporality in the Context of Immigration, Rachel Zhou,0.16666666666667,5, time studies , read, , ,
Time Biopolitics and the Capitalist World-System, Christopher Breu,0.16666666666667,5, time studies , read, , ,
Socialism Anew? Russia?s New Left ?Chevengur? and the Re-thinking of Failure, Petra Rethmann,0.13333333333333,4, time studies , read, , ,
LONG-TERM PROCESSES book: Politics in Time: History Institutions and Social Analysis, P. Pierson,0.8,24, time studies ,Ask Library, , ,
THE LIMITS OF INSTITUTIONAL DESIGN book: Politics in Time: History Institutions and Social Analysis, P. Pierson,1,30, time studies , , , ,
INSTITUTIONAL DEVELOPMENT book: Politics in Time: History Institutions and Social Analysis, P. Pierson,1.1333333333333,34, time studies , , , ,
TEMPORAL CONTEXT IN SOCIAL SCIENCE INQUIRY book: Politics in Time: History Institutions and Social Analysis, P. Pierson,0.4,12, time studies , , , ,
Everything is Animated: Pervasive Media and the Networked Subject, Beth Coleman,0.66666666666667,20, network technology , read, , ,
Queer Property Queer Persons: Self-Ownership and Beyond, Margaret Davies,0.86666666666667,26, network technology , , , ,
Reconceiving Autonomy: Sources Thoughts and Possibilities, Jennifer Nedelsky,1,30, theory ? Feminism , , , ,
Feminist Perspectives on Autonomy, Natalie Stoljar,1,30, theory ? Feminism , , , ,
Curating the post-internet age, Boris Groys,0.5,15, network music , read, , ,
The Polyphonic History of Net Art An Eternal Network?, Launay Aude,0.16666666666667,5, network music , read, , ,
netart | arte en red pr?cticas art?sticas en red situadas en latinoam?rica: de las experiencias pioneras a la web 2(punto)0, Lila Pagola,0.46666666666667,14, network music , read, , ,
Hungry Listening, Dylan Robinson,1.2333333333333,37, sound studies , read , , ,
Capitalism and Fascism of Everyday Life - Resistance Revolution and Fascism: Zapatismo and Assemblage Politics, Anthony Faramelli,0.66666666666667,20, theory ? Critical Theory , read, , ,
Resistance to the Future: Constructing Space in Time - Resistance Revolution and Fascism: Zapatismo and Assemblage Politics, Anthony Faramelli,0.8,24, theory ? Critical Theory , read, , ,
Resistance: Zapatismo and Assemblage Politics - Resistance Revolution and Fascism: Zapatismo and Assemblage Politics, Anthony Faramelli,0.93333333333333,28, theory ? Critical Theory , read, , ,
Revolution and Fascism - Resistance Revolution and Fascism: Zapatismo and Assemblage Politics, Anthony Faramelli,1,30, theory ? Critical Theory , read, , ,
How to open a property to the common - Chapter 6 in Assembly, Michael Hardt & Antonio Negri,0.73333333333333,22, theory ? Critical Theory , read, , ,
We Machinic Subjects - Chapter 7 in Assembly, Michael Hardt & Antonio Negri,0.6,18, theory ? Critical Theory , read, , ,
The Desiring Machines - Chapter 1 in Anti-Oedipus : capitalism and schizophrenia, Gilles Deleuze & Felix Guattari,1.6666666666667,50, theory ? Poststructuralism , read, , ,
Micropolitiques and segmentaerity - A Thousand Plateaus, Gilles Deleuze & Felix Guattari,0.73333333333333,22, theory ? Poststructuralism , read , , ,
The refrain - A Thousand Plateaus, Gilles Deleuze & Felix Guattari,1.2,36, theory ? Poststructuralism , read , , ,
Treaty on nomadology - A Thousand Plateaus, Gilles Deleuze & Felix Guattari,2,60, theory ? Poststructuralism , read , , ,
Refraining - Chapter 2 in An Aesthesia of Networks: Conjunctive Experience in Art and Technology, Anna Munster,1.8,54, network technology , read, , ,
Two Ethical Moments in Debian - Chapter 4 in Coding Freedom: The Ethics and Aesthetics of Hacking, Gabriella Coleman,1.2666666666667,38, network technology , read, , ,
The Cultural Critique of Intellectual Property Law - Conclusion in Coding Freedom: The Ethics and Aesthetics of Hacking, Gabriella Coleman,1.2666666666667,38, network technology , read, , ,
The Models - Chapter 1 in The Stack: On Software and Sovereignty, Benjamin Bratton,2.4666666666667,74, network technology , read, , ,
Invisibly Visible Visibly Invisible - Chapter 1 in Programmed Visions: Software and Memory, Wendy Chun,1.3666666666667,41, network technology , read , , ,
The Edge of Forever: Timeless Time - Chapter 7 in The Rise of The Network Society: The Information Age: Economy Society and Culture, Manuel Castells,1.3333333333333,40, network technology , read, , ,
The Movement book: Two bits: The cultural significance of free software, Christopher Kelty,0.7,21, network technology , read, , ,
Sharing Source Code book: Two bits: The cultural significance of free software, Christopher Kelty,0.83333333333333,25, network technology , read, , ,
Conceiving Open Systems book: Two bits: The cultural significance of free software, Christopher Kelty,1.2,36, network technology , read, , ,
What is new media? - Chapter 1 in The language of new media, Lev Manovich,1.4666666666667,44, network technology , read, , ,
Cyberwar?s Subjects - In Cyberwar and Revolution: Digital Subterfuge in Global Capitalism, N. Dyer-Witheford & S. Matviyenko,1.4666666666667,44, network technology , read, , ,
Time Robbers Time Rebels: Limits of Fast-Capital, Ben Agger,0.53333333333333,16, time studies , , , ,
The Clock-Time Paradox: Time Regimes in the Network Society, Ida Sabelis,0.8,24, time studies , , , ,
Network Time - 24 7: Time and temporality in the Network Society, Robert Hassan,0.83333333333333,25, time studies , , , ,
Tempo Tantrums: Speed and the Cultural Politics of Time book: In the Meantime: Temporality and Cultural Politics, Sarah Sharma,0.86666666666667,26, time studies , read, , ,
Slow Space: Another Pace and Time book: In the Meantime: Temporality and Cultural Politics, Sarah Sharma,0.96666666666667,29, time studies , read, , ,
Toward a Temporal Public book: In the Meantime: Temporality and Cultural Politics, Sarah Sharma,0.46666666666667,14, time studies , read, , ,
Of Other Spaces: Utopias and Heterotopias, Michel Foucault,0.13333333333333,4, time studies , read, , ,
Lived Time and Polytemporality book: Feminism Time and Nonlinear History. Breaking Feminist Waves, Victoria Browne,0.76666666666667,23, time studies , read , , ,
Generational Time book: Feminism Time and Nonlinear History. Breaking Feminist Waves, Victoria Browne,0.76666666666667,23, time studies , read , , ,
Conclusion book: Feminism Time and Nonlinear History. Breaking Feminist Waves, Victoria Browne,0.13333333333333,4, time studies , read , , ,
, , , , , , , ,
